id;brand_name;material;style;season;type;clothing_length;collar;sleeve_length;design;gender;occasion;decoration;closure_type;sleeve_type;color;quality;features;active_noise_cancellation;volume_control;wireless_type;functions;package_list;bluetooth_version;frequency;model_number;description;ram;suitable_for;screen_style;weight;rom;battery;touch_screen;hooded;made_in;shipping_from;sizee
1;magenta;incentivize a;auxiliary;capacity Savings;Consultant;Avon Manager;Chips overriding visualize;withdrawal;virtual;Limousin Producteur;defect Wooden;Configurable;systems Wooden Account;parsing reinvent;pink;b Table Djibouti;Borders;YES;YES;Dong la Designer;driver;withdrawal interface efficient;transmitting;mobile COM open-source;Granite;Sausages collaborative;Franche-Comté Executif project;back-end;b Poitou-Charentes;Birmanie Borders synthesize;Loan;Small Interface;NO;NO;Loan;open-source blue monitor;Auvergne b Borders
2;Garden b Ergonomic;HTTP invoice calculate;Fantastic Stand-alone;ability Cuban;pink;Fantastic;multi-state;input multi-byte;Helena Total Metal;Centre withdrawal;Diverse;Fresh;Specialiste SSL Iraqi;Frozen Rubber red;magenta;Alsace Salvador Home;real-time Assimilated Shirt;NO;YES;Pants Pizza GB;Account;Bûcherie Bedfordshire;Manager TCP Aquitaine;Nord-Pas-de-Calais transmit monitor;Lira b;b Franche-Comté a;Koweït a Metal;payment Distributed;Nord;Handmade;hacking Frozen;Plastic;NO;NO;Dominican;grey Licensed;withdrawal
3;Limousin;b;de;redundant deposit;online Ouzbékistan Basse-Normandie;Chair;Cambridgeshire;back hub;Franche-Comté;Wooden salmon;architecture c;sensor synergy neutral;killer Fully-configurable invoice;matrices;pink;Digitized purple;b transmit;NO;YES;Gibraltar b;port;Wooden redundant b;invoice;Dollar payment website;Analyste;functionalities Account revolutionize;c Frozen task-force;function Loti;HDD Charlemagne Haute-Normandie;bus Dinar;Provence-Alpes-Côte Salad;experiences initiatives a;YES;YES;Wooden;array microchip Baby;SQL
4;empower cross-platform;blue d'Assas;Cambridgeshire;Serbian;Borders Designer;deploy;drive Granite;Granite Champagne-Ardenne;system-worthy Account;Gloves Shoes;Aquitaine Berkshire up;c Coordinateur Producteur;synthesize;synthesize Concrete;cyan;Handmade wireless;Auvergne Designer Shoes;YES;NO;Borders open-source;synergies synthesize;Handmade Designer mobile;firewall;Home c XML;line Mouse;Avon override Account;RSS deposit;Poitou-Charentes Peso blue;Saint-Denis;Syrie compelling maroon;digital Automotive;Car;YES;NO;structure Borders Car;Technicien;Royale c Chicken
5;hub copying;transmit override system;Plastic Tadjikistan;Refined withdrawal;parsing calculate Investment;Account;Soap Saint-Christophe-et-Niévès;Islands input a;a;Pizza Assistant Concrete;hack maroon;Credit;drive Canadian;Small Guarani Sports;mint green;visualize open-source;b Specialiste capacity;NO;NO;Towels;installation;Health distributed Games;black quantifying Directeur;Games framework;Analyste;c panel HTTP;platforms Afghanistan Cambridgeshire;Grocery;knowledge Garden;high-level Licensed;Bourgogne grid-enabled incremental;HDD;YES;NO;Tasty;content-based;Cotton
6;b algorithm portals;Swiss;projection monitor Taka;transmit b;compress Bhutanese;alarm 24/7;Borders Gorgeous flexibility;redundant support;Bretagne monitor XSS;Peso Arménie Account;Somali;Finlande Bonaparte tan;Designer Producteur;ADP compress Metal;pink;Tasty;Sleek de;NO;YES;Laffitte b;Awesome;Bedfordshire solution firewall;Ball grow productivity;even-keeled bypassing;open;state systemic;Ouganda Ball Savings;a Assimilated;invoice parallelism b;a;backing;Borders e-tailers;NO;NO;Sausages bus;zero;standardization sensor brand
7;Home;morph a;Refined Refined;Sleek d'Orsel;Technicien;deposit face Account;Victoire;impactful deposit;Pizza;FTP leading-edge;bandwidth Fantastic;Plastic transmitting Poitou-Charentes;firewall Movies static;discrete;grey;Tasty;invoice SSL;YES;NO;Auto a redundant;index Personal Saint-Dominique;Salad;Krona;Credit grey a;solution-oriented Vision-oriented;synthesizing Consultant;Avon Unit navigating;Superviseur Superviseur Small;integrated holistic;Ball empower transform;Shoes;leverage Armenian;NO;YES;Fantastic;Chips Granite Nord-Pas-de-Calais;Ball Champagne-Ardenne system
8;multi-byte array Market;Baby Money Producteur;Auto;migration Intelligent Île-de-France;Market Plastic;Kenya ADP payment;Cotton turn-key Lituanie;Proactive attitude-oriented Handmade;modular 1080p Small;EXE;Unbranded;Licensed asymmetric;Denar AI;c Sleek deposit;lime;back;bricks-and-clicks;NO;YES;Unbranded d'Abbeville compress;Soft b Home;Midi-Pyrénées out-of-the-box transmitting;Avon São migration;Metal Handcrafted Érythrée;SMTP reboot Car;tangible boliviano Managed;Sleek overriding;pink;invoice RSS Incredible;payment;quantifying JBOD;invoice;NO;YES;firewall a architectures;Loan;Dalasi
9;Fresh;cross-media indexing;withdrawal Berkshire Tuna;Yemeni Sleek;scale;Malagasy engage reinvent;Marcadet cross-platform neural;robust;Granite methodology;incubate;Account Home;connecting Operative;Executif Soft;Health empower withdrawal;ivory;reintermediate Lituanie;Market repurpose;NO;YES;Total quantify;Pula Saint-Séverin Cross-group;SDD Ouganda;Practical Afghani Plastic;Assimilated a c;a;convergence THX quantifying;mobile Bacon;sexy navigate;invoice object-oriented Faubourg-Saint-Denis;Rubber;best-of-breed Auto auxiliary;users navigate;YES;NO;c;Implemented neural;b
10;turquoise tolerance HDD;États-Unis;Adolphe edge;Switchable Shoes;Bac a;Fish Account Metal;Refined discrete Handcrafted;dot-com;viral;PNG task-force;generate bandwidth;Ball;mobile calculating;magnetic calculating a;olive;Table program;De-engineered next-generation;YES;NO;Licensed;Montmorency;Plastic;Bahamas Centre;exuding;Paix;payment Bedfordshire;compressing;Bretagne;repurpose;Avon Virtual;Sports b;a one-to-one;NO;NO;architect;capacity;Loan
